1899	0
1900	1
1949	2
1950	3
1951	4
1952	5
1953	6
1954	7
1956	8
1958	9
1959	10
1962	11
1963	12
1964	13
1965	14
1966	15
1969	16
1972	17
1974	18
1975	19
1976	20
1977	21
1978	22
1979	23
1980	24
1981	25
1982	26
1983	27
1984	28
1985	29
1986	30
1987	31
1988	32
1989	33
1990	34
1991	35
1992	36
1993	37
1994	38
1995	39
1996	40
1997	41
1998	42
1999	43
2000	44
2001	45
2002	46
2003	47
2004	48
2005	49
2006	50
2007	51
2008	52
2009	53
2010	54
2011	55
2012	56
2013	57
2014	58
2015	59
2016	60
2017	61
2018	62
2019	63
2020	64
大陆非上	65
广东省"	66
科教卫生	67
