"机构名称(中文)"	"机构ID"	"ID"	"publish_date"	"paper_name"
"上海贝岭股份有限公司"	"02600171"	"HY000000395302"	"20010412"	"薄层SOS材料改性和器件应用进展"
"许继电气股份有限公司"	"01000400"	"HY000000466611"	"20021101"	"铝合金导电氧化技术的应用"
"东方通信股份有限公司"	"02600776"	"HY000000472539"	"20030801"	"高密度组装技术的发展"
"宁波康强电子股份有限公司"	"03133306"	"HY000000474808"	"20030701"	"高速连续电镀技术在集成电路引线框架生产中的应用"
"宁波康强电子股份有限公司"	"03133306"	"HY000000499248"	"20030801"	"高速连续电镀技术在集成电路引线框架生产中的应用"
"广东生益科技股份有限公司"	"02600183"	"HY000000572426"	"20041101"	"印制线路板的耐离子迁移性能的探讨"
"江苏长电科技股份有限公司"	"03130393"	"HY000000895345"	"20030918"	"在规模经营和科技创新上求突破求发展-2003年中国半导体行业协会IC分会年会上的讲话"
"江苏长电科技股份有限公司"	"03130393"	"HY000001040440"	"20041000"	"我国集成电路产业面临的形势和任务的思考"
"大唐电信科技股份有限公司"	"02600198"	"HY000001050511"	"20030324"	"通信技术发展与集成电路和集成光路"
"中芯国际集成电路制造有限公司"	"T000001188"	"HY000001050529"	"20030324"	"中芯国际先进CMOS制程技术介绍"
"江苏长电科技股份有限公司"	"03130393"	"HY000001142067"	"20041013"	"我国集成电路产业面临的形势和任务的思考"
"广东生益科技股份有限公司"	"02600183"	"HY000001207707"	"20040921"	"印制线路板的耐离子迁移性能的探讨"
"江苏长电科技股份有限公司"	"03130393"	"HY000001429433"	"2008"	"深化和完善集成电路产业政策 推进我国集成电路产业持续稳定发展-关于我国集成电路产业新政策的解读、执行和建议"
"成都卫士通信息产业股份有限公司"	"00076772"	"HY000001615118"	"2005"	"大数模乘硬件设计与FPGA高速实现"
"烽火通信科技股份有限公司"	"03130024"	"HY000001638070"	"2004"	"测试技术在通信工业上的应用与发展"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"HY000001736471"	"2003"	"立足技术创新自主研发、振兴中国医疗器械产业-迈瑞公司状况与技术发展"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000001742929"	"2008"	"软袋大输液自动装卸及搬运系统的开发"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000001763558"	"2009"	"FPGA技术在加速器中的应用"
