"parent_company_name"	"机构名称(中文)"	"成立日期"
"江西赣粤高速公路股份有限公司"	"湖南湘邮科技股份有限公司"	"2000-10-17 00:00:00"
"红塔证券股份有限公司"	"软控股份有限公司"	"2000-04-04 00:00:00"
"厦门厦工机械股份有限公司"	"兴业证券股份有限公司"	"2000-05-19 00:00:00"
"中原证券股份有限公司"	"安徽源和堂药业股份有限公司"	"2003-02-19 00:00:00"
"东兴证券股份有限公司"	"安徽源和堂药业股份有限公司"	"2003-02-19 00:00:00"
"中信证券股份有限公司"	"国泰君安证券股份有限公司"	"1999-08-18 00:00:00"
"马应龙药业集团股份有限公司"	"深圳大佛药业股份有限公司"	"1994-03-21 00:00:00"
"东方证券股份有限公司"	"紫光国芯微电子股份有限公司"	"2001-09-17 00:00:00"
"九芝堂股份有限公司"	"四川科伦药业股份有限公司"	"2002-05-29 00:00:00"
"江苏洋河酒厂股份有限公司"	"中银国际证券股份有限公司"	"2002-02-28 00:00:00"
"深圳新宙邦科技股份有限公司"	"江苏天奈科技股份有限公司"	"2011-01-06 00:00:00"
"中山大学达安基因股份有限公司"	"广州市达瑞生物技术股份有限公司"	"2003-08-11 00:00:00"
"安徽海螺水泥股份有限公司"	"安徽新力金融股份有限公司"	"1999-04-16 00:00:00"
"九州通医药集团股份有限公司"	"北京利德曼生化股份有限公司"	"1997-11-05 00:00:00"
"乐凯胶片股份有限公司"	"中国船舶重工集团动力股份有限公司"	"2000-06-13 00:00:00"
"常柴股份有限公司"	"宝塔实业股份有限公司"	"1995-09-13 00:00:00"
"北京光线传媒股份有限公司"	"杭州当虹科技股份有限公司"	"2010-05-12 00:00:00"
"人福医药集团股份公司"	"天风证券股份有限公司"	"2000-03-29 00:00:00"
"东方集团股份有限公司"	"新华人寿保险股份有限公司"	"1996-09-28 00:00:00"
"精华制药集团股份有限公司"	"江苏金丝利药业股份有限公司"	"1992-12-21 00:00:00"
"上海金桥出口加工区开发股份有限公司"	"国泰君安证券股份有限公司"	"1999-08-18 00:00:00"
"二六三网络通信股份有限公司"	"北京致远互联软件股份有限公司"	"2002-04-02 00:00:00"
"华安证券股份有限公司"	"贵州绿健神农有机农业股份有限公司"	"2011-02-17 00:00:00"
"中国银河证券股份有限公司"	"安徽源和堂药业股份有限公司"	"2003-02-19 00:00:00"
"大秦铁路股份有限公司"	"秦皇岛港股份有限公司"	"2008-03-31 00:00:00"
"西部证券股份有限公司"	"河南辉煌科技股份有限公司"	"2001-11-15 00:00:00"
"上海交大昂立股份有限公司"	"兴业证券股份有限公司"	"2000-05-19 00:00:00"
"中原证券股份有限公司"	"云南万绿生物股份有限公司"	"1999-08-18 00:00:00"
"华安证券股份有限公司"	"江苏诺泰澳赛诺生物制药股份有限公司"	"2009-04-03 00:00:00"
"中信证券股份有限公司"	"云南万绿生物股份有限公司"	"1999-08-18 00:00:00"
"同方股份有限公司"	"紫光国芯微电子股份有限公司"	"2001-09-17 00:00:00"
"上海银行股份有限公司"	"国泰君安证券股份有限公司"	"1999-08-18 00:00:00"
"北京歌华有线电视网络股份有限公司"	"中国电影股份有限公司"	"2010-12-09 00:00:00"
