"机构名称(中文)"	"机构ID"	"ID"	"years"	"Chinese_title"
"乐普(北京)医疗器械股份有限公司"	"T000025726"	"QK201003899262"	"2010      "	"十年同心路 迈上新征程"
"长城汽车股份有限公司"	"00076247"	"QKBJB20192019062100021353"	"2019"	"生态园林建设对环境保护的意义"
"广西博世科环保科技股份有限公司"	"T000059619"	"QKBJB20192019110500001187"	"2019"	"浅析环境保护工程中的环境监测"
"广州维力医疗器械股份有限公司"	"T000061596"	"QKBJBD20202020101000000442"	"2020"	"SAP系统在国内推广过程中存在的问题及应对措施"
"中国建设银行股份有限公司"	"03134029"	"QKBJBD20202020102200003736"	"2020"	"对金融科技背景下商业银行开展数字化营销的思考"
"上海贝岭股份有限公司"	"02600171"	"QKC20192018121900116223"	"2019"	"浅析集成电路设计企业成本管控"
"河南安彩高科股份有限公司"	"02600207"	"QKC20192019022700002164"	"2019"	"物联网产业化发展与农业信息资源的结合"
"北京金隅集团股份有限公司"	"T000025336"	"QKC20192019022700053649"	"2019"	"浅析大数据技术对管理会计的影响"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"QKC20192019022700086699"	"2019"	"从新松看工业机器人关键技术"
"北京久其软件股份有限公司"	"03132059"	"QKC20192019022700119393"	"2019"	"以大数据与人工智能赋能新时代"
"宁波太平鸟时尚服饰股份有限公司"	"T000125151"	"QKC20192019022700125905"	"2019"	"冬天里零售行业的一些思考"
"杭州前进齿轮箱集团股份有限公司"	"T000028023"	"QKC20192019022700153730"	"2019"	"大数据时代人工智能在计算机网络技术中的应用研究"
"太极计算机股份有限公司"	"T000026778"	"QKC20192019022700160759"	"2019"	"基于云架构的数据交换共享平台研究与设计"
"深圳市裕同包装科技股份有限公司"	"T000159938"	"QKC20192019022700164964"	"2019"	"商品防伪溯源查询系统的设计与实现"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019022700167897"	"2019"	"铁路综合视频监控系统云架构应用探讨"
