"机构名称(中文)"	"机构ID"	"apply_numb"	"notice_date"	"name"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99320920.3"	"2000.05.17"	"钴-60治疗机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222197.8"	"2000.11.08"	"机械强制回源装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222198.6"	"2001.02.14"	"放射治疗床及气阀制动装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99320995.5"	"2000.05.17"	"机动门真空灭菌器前面板"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222322.9"	"2000.08.09"	"新型灭菌器平移门"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222339.3"	"2000.08.09"	"安瓿灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222340.7"	"2000.11.08"	"安瓿水浴灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99112445.6"	"2001.08.01"	"安瓿灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222372.5"	"2000.09.06"	"蒸汽灭菌F<sub>0</sub>值控制仪"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99112450.2"	"2001.03.28"	"蒸汽灭菌F0值控制仪"
"上海贝岭股份有限公司"	"02600171"	"CN00115338.2"	"2001.10.10"	"利用八位数据传输操作的集成电路卡芯片及其验证方法"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214238.4"	"2001.07.04"	"医用半导体激光定位仪"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214240.6"	"2001.06.06"	"伸缩式屏蔽平衡锤"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00311592.5"	"2001.05.16"	"医用半导体激光定位仪"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214384.4"	"2001.02.07"	"多向转换控制开关"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00111020.9"	"2001.11.07"	"多叶准直器的叶片传动装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214383.6"	"2001.02.07"	"多叶准直器的叶片传动装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214280.5"	"2001.02.21"	"卧式矩形双轨式灭菌器"
