"机构名称(中文)"	"机构ID"	"notice_numb"	"notice_date"	"patent_name"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100342293C"	"20071010"	"一种模拟式交流恒流源"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100345074C"	"20071024"	"一种数字式交流恒流源"
"西部金属材料股份有限公司"	"03133852"	"CN100355528C"	"20071219"	"一种高精度钨片制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN100368136C"	"20080213"	"一种小面积贵金属爆炸复合的方法"
"金堆城钼业股份有限公司"	"03134603"	"CN100417738C"	"20080910"	"耐高温、抗电弧侵蚀复合稀土钼合金及其制备方法"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN100419219C"	"20080917"	"一种透平机械转子叶片的表面复合涂层及其制备方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100419605C"	"20080917"	"一种现场总线位置控制装置"
"西部金属材料股份有限公司"	"03133852"	"CN100439036C"	"20081203"	"一种高精度厚钨板的制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN100439522C"	"20081203"	"一种制备钼镧合金的方法"
"西部金属材料股份有限公司"	"03133852"	"CN100439523C"	"20081203"	"一种制备高性能钼棒的方法"
"东软集团股份有限公司"	"02600718"	"CN100447831C"	"20081231"	"一种兼容左右侧通行的汽车导航装置的道路探索方法"
"沈阳化工股份有限公司"	"01000698"	"CN100455610C"	"20090128"	"一种共聚糊树脂及其制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN100463093C"	"20090218"	"高压断路器操动机构用控制阀"
"西部金属材料股份有限公司"	"03133852"	"CN100464880C"	"20090304"	"一种小粗糙度高亮度薄钨片的轧制方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100493829C"	"20090603"	"IC剪切折弯成型机"
"中国西电电气股份有限公司"	"T000025764"	"CN100498254C"	"20090610"	"一种高压电缆及其附件导体温度的测量方法"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN100503095C"	"20090624"	"一种半圆轴瓦的车削加工方法"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN100504072C"	"20090624"	"离心泵口环密封装置"
"沈阳化工股份有限公司"	"01000698"	"CN100509882C"	"20090708"	"一种用于生产PVC手套的糊树脂及其制备方法"
"沈阳化工股份有限公司"	"01000698"	"CN100509943C"	"20090708"	"一种聚氯乙烯糊树脂的制备方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100511056C"	"20090708"	"一种数据存储及现场总线通信并用的一体化装置"
"中国西电电气股份有限公司"	"T000025764"	"CN100517531C"	"20090722"	"开关设备用电动弹簧操动机构"
"中国西电电气股份有限公司"	"T000025764"	"CN100517539C"	"20090722"	"高压断路器用液压碟簧储能装置"
"中国西电电气股份有限公司"	"T000025764"	"CN100518120C"	"20090722"	"一种基于CAN总线的电子式互感器数据传输方法"
"西安标准工业股份有限公司"	"02600302"	"CN100523270C"	"20090805"	"一种钢铁工件的浅层渗碳工艺"
"东软集团股份有限公司"	"02600718"	"CN100524383C"	"20090805"	"能够即时更新交通规则的导航设备"
"西部金属材料股份有限公司"	"03133852"	"CN100528394C"	"20090819"	"一种高平直度钨板的校平方法"
"西部金属材料股份有限公司"	"03133852"	"CN100529150C"	"20090819"	"一种制备金属铌带材的方法"
"中国西电电气股份有限公司"	"T000025764"	"CN100530259C"	"20090819"	"一种电力系统数据传输装置"
"东软集团股份有限公司"	"02600718"	"CN100533628C"	"20090826"	"一种旋转按钮"
"东软集团股份有限公司"	"02600718"	"CN100541454C"	"20090916"	"一种数据缓存方法及系统"
"中国西电电气股份有限公司"	"T000025764"	"CN100543473C"	"20090923"	"一种漏电检测仪用非线性电阻阀片及其制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN100543484C"	"20090923"	"近区故障试验用可移动式人工数学链路装置"
"中国西电电气股份有限公司"	"T000025764"	"CN100544143C"	"20090923"	"一种气体绝缘的隔离开关装置"
"中国西电电气股份有限公司"	"T000025764"	"CN100552457C"	"20091021"	"一种用于高压电器实验回路的点火装置"
"中国西电电气股份有限公司"	"T000025764"	"CN100552834C"	"20091021"	"一种有机复合绝缘子芯棒的制造方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100562410C"	"20091125"	"一种平面多关节机器人"
"东软集团股份有限公司"	"02600718"	"CN100562874C"	"20091125"	"一种增量数据捕获方法和系统"
"中国西电电气股份有限公司"	"T000025764"	"CN100562951C"	"20091125"	"一种避雷器用氧化锌非线性电阻片的制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN100569886C"	"20091216"	"电气绝缘瓷套用粘接剂及瓷套的粘接方法"
"西部金属材料股份有限公司"	"03133852"	"CN100577330C"	"20100106"	"一种不锈钢网和金属纤维毡复合滤网的制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN100577849C"	"20100106"	"一种深冲钼带的制备方法"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN100591926C"	"20100224"	"自动复位防漏空气引射系统"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN100591952C"	"20100224"	"锥面摩擦传动减速箱"
"辽宁成大生物股份有限公司"	"T000035231"	"CN101028514A"	"20070905"	"一种应用生物反应器生产人用疫苗的方法"
"东软集团股份有限公司"	"02600718"	"CN101029823B"	"20100915"	"基于车辆状态分类的车辆跟踪方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101029824B"	"20111026"	"基于车辆特征的车辆定位方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101030256B"	"20100512"	"车辆图像分割方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101030259B"	"20111026"	"SVM分类器、利用SVM分类器识别车辆图像的方法和装置"
"东北制药集团股份有限公司"	"01000597"	"CN101032524B"	"20100929"	"洋虫在制备耐缺氧的药物或保健食品中的应用"
"沈阳化工股份有限公司"	"01000698"	"CN101045546A"	"20071003"	"一种氯化钙融雪剂的生产方法"
"沈阳化工股份有限公司"	"01000698"	"CN101050293A"	"20071010"	"一种聚氯乙烯糊树脂的制备方法"
"东软集团股份有限公司"	"02600718"	"CN101060396B"	"20110209"	"一种事件的检测方法及装置"
"辽宁成大生物股份有限公司"	"T000035231"	"CN101095950A"	"20080102"	"一种稳定的人用狂犬病疫苗冻干制剂及其制备"
"辽宁成大生物股份有限公司"	"T000035231"	"CN101095950B"	"20110126"	"一种稳定的人用狂犬病疫苗冻干制剂及其制备"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN101101004A"	"20080109"	"离心泵口环密封装置"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN101101052A"	"20080109"	"一种齿轮箱用轴承自润滑装置"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN101101052B"	"20101208"	"一种齿轮箱用轴承自润滑装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101127274B"	"20110504"	"气体绝缘金属封闭开关设备用电流互感器"
"中国西电电气股份有限公司"	"T000025764"	"CN101140821B"	"20100929"	"小型化GIS避雷器用非线性电阻片的制备方法"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN101144523A"	"20080319"	"锥面摩擦传动减速箱"
"东软集团股份有限公司"	"02600718"	"CN101145913B"	"20100616"	"一种实现网络安全通信的方法及系统"
"中国西电电气股份有限公司"	"T000025764"	"CN101154530B"	"20101215"	"抑制高压隔离开关瞬态过电压的触头装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101159186B"	"20101215"	"高压空心复合绝缘子高压端一次封胶方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101172879B"	"20100519"	"高压瓷套用无机粘接釉及瓷套的粘接方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101176993A"	"20080514"	"一种平面多关节机器人"
"西部金属材料股份有限公司"	"03133852"	"CN101177768A"	"20080514"	"一种制备金属铌带材的方法"
"西部金属材料股份有限公司"	"03133852"	"CN101181717A"	"20080521"	"一种小粗糙度高亮度薄钨片的轧制方法"
"西部金属材料股份有限公司"	"03133852"	"CN101181773A"	"20080521"	"具有高深冲性能和高晶粒度等级的钽长带制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN101181773B"	"20100602"	"具有高深冲性能和高晶粒度等级的钽长带制备方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101186012A"	"20080528"	"IC剪切折弯成型机"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101187808A"	"20080528"	"一种数据存储及现场总线通信并用的一体化装置"
"东软集团股份有限公司"	"02600718"	"CN101187982B"	"20110824"	"一种用于从图像中分割出对象的方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101187985B"	"20120201"	"确定对象分类器分类边界的方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101188531B"	"20100407"	"一种监测网络流量异常的方法及系统"
"东软集团股份有限公司"	"02600718"	"CN101188566B"	"20100602"	"一种集群环境下数据缓存同步的方法及系统"
