"机构ID"	"机构名称(中文)"	"成立日期"	"主营业务"	"经营范围"
"00000009"	"申万宏源集团股份有限公司"	"1996-09-16 00:00:00"	"金融投资、股权投资等"	"　　投资管理，实业投资，股权投资，投资咨询，房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00000249"	"安徽国祯环保节能科技股份有限公司"	"1997-02-25 00:00:00"	"生活污水处理投资运营业务、环境工程EPC业务、污水处理设备生产销售业务"	"　　环保、节能设施研究、开发；环保节能设备及自动化控制系统开发、生产、销售；膜材料及膜设备的开发、制造及基于膜的工程技术咨询和工程服务；环保项目（水环境污染治理、土壤修复、生态工程及生态修复）的承建；环保设施（工业废水、生活污水、黑臭水体治理、海绵城市、污泥处理、废气处理及人工湿地、土壤修复）的项目投资、设计、咨询、技术服务、建设、运营；市政供、排水管道检测、疏通养护、修复工程及技术咨询服务；市政项目投资、建设、运营；境内外市政、环境工程的勘测、咨询、环境影响评价、设计和监理项目，货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）（未经金融部门批准不得从事融资担保、吸收存款、代客理财等相关金融业务）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00001219"	"招商局蛇口工业区控股股份有限公司"	"1992-02-19 00:00:00"	"园区开发与运营、社区开发与运营、邮轮产业建设与运营"	"　　城区、园区、社区的投资、开发建设和运营；交通运输、工业制造、金融保险、对外贸易、旅游、酒店和其他各类企业的投资和管理；邮轮母港及配套设施的建设和运营；房地产开发经营；水陆建筑工程；所属企业产品的销售和所需设备、原材料、零配件的供应和销售；举办体育比赛；物业管理；水上运输、码头、仓储服务；科研技术服务；提供与上述业务有关的技术、经营咨询和技术、信息服务。"
"00005428"	"湖南湘泉药业股份有限公司"	"1995-04-25 00:00:00"	"中药材、中药饮片、中成药种植、加工、生产、销售等"	"　　生产、销售自产医药原料、医药中间体、中西成药、中药饮片（以上凭生产许可证核准的范围、期限从事经营），开发中药材基地，种植、销售自产中药材，养殖、销售家禽家畜（不含种禽、种畜），经营本企业产品及生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进出口业务（国家限定公司经营和国家禁止进出口的商品及技术除外）；经营进料加工和“三来一补”业务。"
"00006582"	"新华人寿保险股份有限公司"	"1996-09-28 00:00:00"	"寿险业务,资产管理业务"	"　　人民币、外币的人身保险（包括各类人寿保险、健康保险、意外伤害保险）；为境内外的保险机构代理保险、检验、理赔；保险咨询；依照有关法规从事资金运用。"
"00009270"	"兴业证券股份有限公司"	"2000-05-19 00:00:00"	"证券经纪、投资银行、资产管理、证券自营等"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券投资基金代销；代销金融产品；证券投资基金托管业务；为期货公司提供中间介绍业务；互联网信息服务不含新闻、出版、教育、医疗保健、药品和医疗器械等内容及电子公告服务；证券资产管理；商品期货经纪、金融期货经纪；基金募集、基金销售、资产管理、特定客户资产管理业务；私募投资基金业务；物业管理服务；借贷业务；企业管理咨询、商务信息咨询、市场信息咨询与调查业务；金融产品投资、股权投资、项目投资、投资管理；投资咨询等。(依法须经批准的项目，经相关部门批准后方可开展经营活动。"
"00010807"	"嘉事堂药业股份有限公司"	"1997-04-22 00:00:00"	"医药批发、连锁零售业务，2005年公司开始经营与医药批发、零售相关的医药物流业务，在满足公司自身医药批发、零售需求的基础上，开展第三方医药物流配送业务。"	"　　销售医疗器械、保健食品；中药饮片、中成药、化学药制剂、化学原料药、抗生素、生化药品、生物制品、体外诊断试剂、第二类精神药品制剂、蛋白同化制剂、肽类激素（药品经营许可证有效期至2019年9月22日）；以下限分支机构经营：零售预包装食品、乳制品（含婴幼儿配方乳粉）（食品流通许可证有效期至2016年4月28日）；销售日用品、医疗器械I类；仓储服务；技术咨询；技术开发；技术转让；经济信息咨询；会议服务。"
"00015659"	"山西证券股份有限公司"	"1988-07-28 01:00:00"	"证券经纪业务、融资融券业务、证券自营业务、证券承销业务、受托资产管理业务、商品期货经纪、金融期货经纪业务及投资与资产管理等。"	"　　证券经纪;证券自营;证券资产管理;证券投资咨询;与证券交易、证券投资活动有关的财务顾问;证券投资基金代销;为期货公司提供中间介绍业务;融资融券;代销金融产品;公开募集证券投资基金管理业务(依法须经批准的项目,经相关部门批准后方可开展经营活动)"
"00017109"	"温氏食品集团股份有限公司"	"1993-07-26 00:00:00"	"肉鸡、肉猪的养殖和销售"	"　　本企业自产产品及相关技术的出口业务和生产、科研所需原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务、本企业的进料加工和“三来一补”业务（按[99]外经贸政审函字第951号文经营）；生产、加工、销售：禽畜、罐头食品、冷冻食品、肉食制品、饲料；农业科学研究与试验发展，相关技术的检测、推广、培训（上述项目由分支机构凭许可证经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）"
"00019923"	"红塔证券股份有限公司"	"2002-01-31 00:00:00"	"证券经纪、证券自营、证券承销与保荐；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券资产管理；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品业务。"	"　　证券经纪、证券自营、证券承销与保荐;证券投资咨询;与证券交易、证券投资活动有关的财务顾问;证券资产管理;融资融劵;证券投资基金代销;为期货公司提供中间介绍业务;代销金融产品业务。"
"00022420"	"圣元环保股份有限公司"	"1997-10-09 00:00:00"	"主要从事生活垃圾焚烧发电和生活污水处理业务。"	"　　固体废物治理；水污染治理；环保产品技术推广服务：城市污水处理；城市垃圾焚烧发电业务；工业固体废弃物的处置回收利用及相关配套设施设计；建设项目投资、运营管理、技术咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00046764"	"华西证券股份有限公司"	"2000-07-13 00:00:00"	"经纪业务、投资银行业务、固定收益业务、研究咨询业务、受托资产管理业务、自营投资业务、战略客户服务业务、其他业务。"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；证券投资基金代销；融资融券；代销金融产品；为期货公司提供中间介绍业务；中国证监会批准的其他业务。"
