"parent_company_name"	"company_name"	"estiblish_time"
"江苏中益特种纤维有限公司"	"上饶市益鑫特种纤维有限公司"	"2017/2/6"
"上海华虹宏力半导体制造有限公司"	"上海矽睿科技有限公司"	"2012/9/13"
"河南九州通医药有限公司"	"三门峡华为药品有限责任公司"	"2002/2/4"
"贵阳经济技术开发区贵合投资发展有限公司"	"贵阳市裕丰农业发展有限责任公司"	"2018/3/23"
"深圳宝盛网智能技术有限公司"	"上海适网通讯技术有限公司"	"2018/3/29"
"中国海洋石油集团有限公司"	"中国海洋石油渤海有限公司"	"1981/9/11"
"漯河市郾城区医药公司"	"河南九州通豫华医药有限公司"	"2018/12/28"
"惠州启辰锂电科技有限公司"	"惠州麒麟新科锂电有限公司"	"2016/8/15"
"漳州杰安塑料有限公司"	"漳州杰安环保材料有限公司"	"2011/5/12"
"新疆金兰科技发展有限公司"	"昭苏县金兰物联网科技发展有限公司"	"2017/11/18"
"广东圆融新材料有限公司"	"佛山市顺德区美融新材料有限公司"	"2016/6/8"
"蓝锋信息技术股份有限公司"	"上善健康产业发展有限公司"	"2019/9/29"
"青岛有住投资控股有限公司"	"天津有住智能家居有限公司"	"2016/2/19"
"无锡市八达化工厂"	"无锡八达化工有限公司"	"1993/2/11"
"金坛市华东偶联剂厂"	"金坛华凡偶联剂有限公司"	"2002/6/24"
"汕头海洋第一聚苯树脂有限公司"	"漳州诏安港湾化工有限责任公司"	"2004/8/9"
"河南九州通医药有限公司"	"太康县瑞康药业有限责任公司"	"2002/3/26"
"中国石油集团渤海石油装备制造有限公司"	"渤海石油装备福建钢管有限公司"	"2012/7/6"
"江苏美科硅能源有限公司"	"包头美科硅能源有限公司"	"2018/7/18"
"广东三和化工科技有限公司"	"广东三和控股有限公司"	"2000/6/2"
"国药集团中联药业有限公司"	"武汉新兴医药科技有限公司"	"2001/3/7"
"云天化集团有限责任公司"	"云南云天化深泓新能源科技股份有限公司"	"2018/2/7"
"深国大数据有限公司"	"深国物联技术有限公司"	"2019/10/11"
"紫光天府科技产业发展有限公司"	"成都紫光锦兴置业有限公司"	"2018/7/9"
"山东盛华新材料科技股份有限公司"	"山东盛华电子新材料有限公司"	"2010/12/27"
"广东芙田化学有限公司"	"中山芙田化学有限公司"	"2018/2/6"
"常熟三爱富氟源新材料有限公司"	"上海华谊三爱富新材料销售有限公司"	"2012/8/24"
"山西省医药集团有限责任公司"	"山西省医药集团股份有限公司"	"2016/10/28"
"山西云时代技术有限公司"	"山西云时代太极数据技术有限公司"	"2018/5/31"
"深圳市世纪晶源投资有限公司"	"深圳世纪晶源光子技术有限公司"	"2007/8/15"
"泰州市赛孚聚力生物医药有限公司"	"江苏赛孚士生物技术有限公司"	"2018/8/2"
"九次方大数据信息集团有限公司"	"上海集易网络科技有限公司"	"2004/12/27"
"上海泗联实业有限公司"	"上海油墨泗联化工有限公司"	"1996/1/15"
"深圳中兴新材技术股份有限公司"	"武汉中兴创新材料技术有限公司"	"2017/7/13"
"南平元力活性炭有限公司"	"满洲里元力活性炭有限公司"	"2007/5/24"
"天津塑力线缆集团有限公司"	"天津塑力集团超高压电缆有限公司"	"2005/9/29"
"江苏华益科技有限公司"	"辽宁华益派特科技有限公司"	"2017/7/20"
"勤上光电股份有限公司"	"东莞市万聿光电有限公司"	"2018/5/22"
"广东能量科技有限公司"	"广东世业网络科技有限公司"	"2018/2/2"
"深圳市中天协创科技发展有限公司"	"中天共创科技发展有限公司"	"2019/7/24"
"天津市医药集团有限公司"	"天津百奥制药有限公司"	"2005/8/23"
"陕西莱特光电材料股份有限公司"	"城固莱特光电新材料有限公司"	"2018/4/26"
"济南浪潮智投智能科技有限公司"	"菏泽浪潮城投智慧城市运营管理有限公司"	"2019/5/23"
"重庆川顺物资储运总公司"	"重庆川顺物资储运总公司"	"1982/7/2"
"上海奉贤农业发展有限公司"	"上海聚惠生物医药产业开发有限公司"	"2010/8/26"
"中国石油集团渤海石油装备制造有限公司"	"河北华油一机图博涂层有限公司"	"2005/5/16"
"广东华材实业股份有限公司"	"江门华材实业有限公司"	"2016/9/22"
"巢湖市宏光矿业有限公司"	"巢湖市宏光高新复合材料有限公司"	"2018/1/19"
"兴和县瑞盛石墨有限公司"	"巴彦淖尔市永耀矿业开发有限公司"	"2002/8/29"
"河南九州通医药有限公司"	"河南省国正医药有限公司"	"2004/8/6"
"临沂市金沂蒙生物科技有限公司"	"山东金沂蒙化工科技有限责任公司"	"2019/9/27"
"江苏中能硅业科技发展有限公司"	"江苏协鑫硅材料科技发展有限公司"	"2008/10/16"
"鲁西集团有限公司"	"山东国昌催化剂有限公司"	"2008/8/13"
"华润医药商业集团有限公司"	"华润医药商业集团医疗器械有限公司"	"2006-02-14"
"杭州迪安医学检验中心有限公司"	"沈阳迪安医学检验所有限公司"	"2010/11/15"
"陕西咸阳百姓乐大药房连锁有限公司"	"商洛乐百姓大药房有限公司"	"2018/4/16"
"西安康本材料有限公司"	"西安超迈纤维技术有限公司"	"2007/3/19"
"武汉华大医学检验所有限公司"	"安徽华大医学检验所有限公司"	"2016/3/4"
"四川蜀羊防水材料有限公司"	"陕西蜀羊防水材料有限公司"	"2014/9/23"
"河南睿光新能源科技有限公司"	"郑州西美高新能源科技有限公司"	"2020/1/16"
"四川浩普瑞新能源材料股份有限公司"	"山西浩普瑞新能源材料有限公司"	"2016/12/6"
"河南省黄泛区绿原化工有限公司"	"河南省黄泛区绿原化工销售有限公司"	"2018/3/13"
"丹阳广网智慧城市建设有限公司"	"丹阳市智慧城市投资建设有限公司"	"2017/7/17"
"江苏协鑫硅材料科技发展有限公司"	"徐州翕然光伏材料有限公司"	"2019/6/26"
"青岛有住投资控股有限公司"	"江西省少海汇智能家居有限公司"	"2019/7/18"
"华润医药商业集团有限公司"	"华润湖南瑞格医药有限公司"	"2013-01-10"
"OPPO广东移动通信有限公司"	"东莞市欧珀精密电子有限公司"	"2013-10-21"
"清远市齐力合成革有限公司"	"广东齐力聚合材料有限公司"	"2019/4/1"
"兰州生物制品研究所有限责任公司"	"临洮县兰生单采血浆有限责任公司"	"2013/10/24"
"成都贡渣银行联星置业有限公司"	"四川贡渣银行石墨烯科技有限公司"	"2016/12/7"
"民生药业集团有限公司"	"天地民生医疗科技有限公司"	"2016/12/26"
"杭州迪安医学检验中心有限公司"	"福州迪安医学检验实验室有限公司"	"2016/3/10"
"勤上光电股份有限公司"	"东莞市昺晟光电有限公司"	"2018/5/23"
"顶立新材料科技有限公司"	"四川顶立胶业有限公司"	"2012/4/10"
"上海通导遥企业发展有限公司"	"南京通导遥人工智能科技研究院有限公司"	"2020/5/20"
"九次方大数据信息集团有限公司"	"荆州荆九云信息技术有限公司"	"2018/12/13"
"深圳用通京造智能电子有限公司"	"深圳百进洋科技有限公司"	"2019/9/17"
"徐州天成氯碱有限公司"	"徐州隆天硅业有限公司"	"2008/11/4"
"深圳市一体医疗科技有限公司"	"西安一体医疗科技有限公司"	"1998-04-28"
"洛阳科博思新材料科技有限公司"	"洛阳兴隆新材料科技有限公司"	"2016/6/13"
"吉林炭素有限公司"	"吉林国兴碳纤维有限公司"	"2008/12/12"
"常熟阿特斯阳光电力科技有限公司"	"常熟特固新材料科技有限公司"	"2014/9/2"
"广东德冠薄膜新材料股份有限公司"	"广东德冠包装材料有限公司"	"2001/6/4"
"新疆盐湖化工厂"	"新疆盐湖化工厂"	"1984/7/27"
