"name"	"apply_numb"	"notice_date"	"name"
"沈阳沈大内窥镜有限公司"	"CN00210112.2"	"2001.12.19"	"一种免维护的医疗器械水阀"
"联想(北京)有限公司"	"CN00266739.8"	"2001.11.28"	"一种计算机主板"
"联想(北京)有限公司"	"CN01260079.2"	"2002.07.17"	"内置集成电路接口卡片读写器的安装装置"
"联想(北京)有限公司"	"CN03236131.9"	"2004.02.25"	"改进电路的多用总线终端调整器"
"江西洪达医疗器械集团有限公司"	"CN03243440.5"	"2004.04.14"	"自毁式一次性注射器"
"江西洪达医疗器械集团有限公司"	"CN03128859.6"	"2003.11.05"	"自毁式安全注射器"
"江西洪达医疗器械集团有限公司"	"CN03231576.7"	"2004.05.19"	"自毁式安全注射器"
"江西洪达医疗器械集团有限公司"	"CN03263708.X"	"2004.07.28"	"一次性自控式镇痛泵"
"江西洪达医疗器械集团有限公司"	"CN03232309.3"	"2004.07.14"	"滴斗可变量式输液器"
"联想(北京)有限公司"	"CN03208594.X"	"2004.10.27"	"具有收音机及其录音功能的随身电脑"
"联想(北京)有限公司"	"CN03279669.2"	"2004.10.27"	"计算机主板"
"联想(北京)有限公司"	"CN03157328.2"	"2005.03.23"	"多路传真机及其工作方法"
"联想(北京)有限公司"	"CN03249120.4"	"2005.01.19"	"具有收音机功能的电脑"
"沈阳沈大内窥镜有限公司"	"CN200320105033.X"	"2004.12.29"	"双极电极及其联接结构"
"沈阳沈大内窥镜有限公司"	"CN200320105068.3"	"2004.12.29"	"一种内窥镜用异形管"
"江西洪达医疗器械集团有限公司"	"CN200420037149.9"	"2005.07.13"	"自毁式注射器"
"联想(北京)有限公司"	"CN200510055891.1"	"2006.09.20"	"防止对RSA算法进行能量分析攻击的方法"
"深圳创维-RGB电子有限公司"	"CN200510021864.2"	"2006.05.17"	"一种遥控灵敏度增强电路"
"江西洪达医疗器械集团有限公司"	"CN200620044928.0"	"2007.08.29"	"一次性自毁式安全注射器"
"深圳创维-RGB电子有限公司"	"CN200620016331.5"	"2007.12.26"	"一种防串扰的电视遥控器"
"美昕医疗器械(上海)有限公司"	"CN200620162572.0"	"2007.12.26"	"零残留滴定管式输液器"
"美昕医疗器械(上海)有限公司"	"CN200620162572.0"	"2007.12.26"	"零残留滴定管式输液器"
"美昕医疗器械(上海)有限公司"	"CN200620162576.9"	"2007.12.26"	"安全型静脉留置针"
"美昕医疗器械(上海)有限公司"	"CN200620162576.9"	"2007.12.26"	"安全型静脉留置针"
"江西洪达医疗器械集团有限公司"	"CN200720083273.2"	"2008.02.20"	"一种低阻力注射器胶塞"
"深圳创维-RGB电子有限公司"	"CN200720121048.3"	"2008.04.30"	"一种解决电视机换台时音量突变的电路"
"深圳创维-RGB电子有限公司"	"CN200720122235.3"	"2008.10.01"	"一种产生SCART信号的电视机"
"深圳创维-RGB电子有限公司"	"CN200720122216.0"	"2008.10.29"	"一种数字音频功率放大电路"
"南京华瑞医疗器械有限公司"	"CN200720044188.5"	"2008.06.25"	"多功能特别护理床"
"南京华瑞医疗器械有限公司"	"CN200720044189.X"	"2008.06.25"	"护理病床用床尾升降定位机构"
"南京华瑞医疗器械有限公司"	"CN200720044190.2"	"2008.06.25"	"护理病床用坐便器升降机构"
"江西洪达医疗器械集团有限公司"	"CN200820112995.0"	"2009.03.25"	"一次性使用安全药液过滤输液器"
"江西洪达医疗器械集团有限公司"	"CN200820137442.0"	"2009.08.12"	"一种静脉留置针密封隔离塞"
"江西洪达医疗器械集团有限公司"	"CN200820137443.5"	"2009.05.20"	"一种易排气泡输液器"
"深圳创维-RGB电子有限公司"	"CN200810241362.4"	"2009.06.10"	"一种分立元器件电源电路"
"江西洪达医疗器械集团有限公司"	"CN200920141952.X"	"2010.02.17"	"一次性安全分离式静脉留置针"
"江西洪达医疗器械集团有限公司"	"CN200920108152.8"	"2010.05.26"	"一种安全型静脉留置针"
"江西洪达医疗器械集团有限公司"	"CN200920110627.7"	"2010.05.26"	"一种无气泡输液器"
"江西洪达医疗器械集团有限公司"	"CN200910238574.1"	"2010.05.19"	"一种自动排气输液器"
"江西洪达医疗器械集团有限公司"	"CN201010107166.5"	"2010.07.21"	"一种无气泡输液器"
"联想(北京)有限公司"	"CN200920246831.1"	"2010.08.25"	"一种基于键盘集成电路的检测设备"
"苏州佳世达电通有限公司"	"CN200810181286.2"	"2010.06.30"	"一种感测器及其制造方法"
"上海晟实医疗器械科技有限公司"	"CN201020126634.9"	"2010.12.08"	"一种髋臼翻修杯"
"美昕医疗器械(昆山)有限公司"	"CN200920163766.6"	"2010.10.13"	"安全型静脉输液针"
"江西洪达医疗器械集团有限公司"	"CN200920277618.7"	"2010.08.04"	"一种自动排气输液器"
"江西洪达医疗器械集团有限公司"	"CN201020128649.9"	"2010.11.03"	"一种安全无气泡输液器"
"江西洪达医疗器械集团有限公司"	"CN201020110197.1"	"2010.11.03"	"一种无气泡输液器"
"江苏创英医疗器械有限公司"	"CN201020181414.6"	"2010.11.24"	"一种医用螺钉及螺丝刀"
"江苏创英医疗器械有限公司"	"CN201020181497.9"	"2010.11.24"	"一种牙科种植体"
"上海晟实医疗器械科技有限公司"	"CN201010120607.5"	"2010.09.22"	"一种用于全髋关节翻修术的髋臼重建支架"
