"name"	"apply_numb"	"accredit_date"	"patent_name"
"家荣高科技(沈阳)有限公司"	"CN200810012926.7"	"20091028"	"换套箱式鞋套机"
"家荣高科技(沈阳)有限公司"	"CN200810012926.7"		"换套箱式鞋套机"
"陕西瑞盛生物科技有限公司"	"CN200810150786.X"		"双层膜状组织修补材料及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150786.X"	"20120919"	"双层膜状组织修补材料及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150787.4"		"一种双层人工皮肤及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150787.4"	"20120919"	"一种双层人工皮肤及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150792.5"		"脱细胞小肠粘膜下层生物材料的制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150792.5"	"20110720"	"脱细胞小肠粘膜下层生物材料的制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150789.3"		"人源化异种细胞外基质材料及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150789.3"	"20120829"	"人源化异种细胞外基质材料及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150790.6"		"具有生物活性的组织修补材料及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150790.6"	"20130724"	"具有生物活性的组织修补材料及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150791.0"		"可注射用的微粒组织充填材料及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150791.0"	"20130605"	"可注射用的微粒组织充填材料及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150793.X"		"一种组织补片及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200810150793.X"	"20120829"	"一种组织补片及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200910022842.6"		"人源化活性煅烧骨及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN200910022842.6"	"20120829"	"人源化活性煅烧骨的制备方法"
"陕西瑞盛生物科技有限公司"	"CN201019018003.7"		"一种制备组织工程角膜的方法"
"陕西瑞盛生物科技有限公司"	"CN201019018003.7"	"20130424"	"一种制备组织工程角膜的方法"
"陕西瑞盛生物科技有限公司"	"CN201019018004.1"		"一种组织工程角膜的制备方法"
"陕西瑞盛生物科技有限公司"	"CN201019018004.1"	"20130424"	"一种组织工程角膜的制备方法"
"陕西瑞盛生物科技有限公司"	"CN200910254641.9"		"一种复合软组织补片的制备方法"
"陕西瑞盛生物科技有限公司"	"CN200910254641.9"	"20130605"	"一种复合软组织补片的制备方法"
"西安华海医疗信息技术股份有限公司"	"CN201010013621.5"		"一种增强医学X射线影像显示效果的方法"
"西安华海医疗信息技术股份有限公司"	"CN201010013621.5"	"20140813"	"一种增强医学X射线影像显示效果的方法"
