"ID"	"paper_name"	"Chinese_keyword"	"mot_literature"	"meeting_name"	"host_unit"	"publish_date"
"HY000000395302"	"薄层SOS材料改性和器件应用进展"	"硅%固相外延%CMOS/SOS器件%SOI材料%材料改性"	"第十二届全国半导体集成电路硅材料学术会议论文集"	"第十二届全国半导体集成电路硅材料学术会议"	"中国电子学会"	"20010412"
"HY000000466611"	"铝合金导电氧化技术的应用"	"铝合金%电磁屏蔽性%防腐蚀性%导电氧化工艺%表面处理"	"中国电工技术学会第五届表面处理学术年会论文集"	"中国电工技术学会第五届表面处理学术年会"	"中国电工技术学会"	"20021101"
"HY000000472539"	"高密度组装技术的发展"	"电路组装技术%印刷电路板%焊接工艺%集成电路"	"表面贴装技术研讨会暨电子互联与封装技术研讨会论文集"	"表面贴装技术研讨会暨电子互联与封装技术研讨会"	"中国电子学会生产技术学分会"	"20030801"
"HY000000474808"	"高速连续电镀技术在集成电路引线框架生产中的应用"	"镀银%集成电路%引线框架%电镀技术%表面处理"	"2003年全国电子电镀学术研讨会论文集"	"2003年全国电子电镀学术研讨会"	"中国电子协会"	"20030701"
"HY000000499248"	"高速连续电镀技术在集成电路引线框架生产中的应用"	"集成电路%引线框架%高速镀银%点镀技术%电镀技术"	"2003中国电子制造技术论坛会论文集"	"2003中国电子制造技术论坛会"	"中国电子学会"	"20030801"
"HY000000572426"	"印制线路板的耐离子迁移性能的探讨"	"印制线路板%离子迁移%CAF%绝缘电阻"	"第七届全国印制电路学术年会论文集"	"第七届全国印制电路学术年会"	"中国电子学会"	"20041101"
"HY000000895345"	"在规模经营和科技创新上求突破求发展-2003年中国半导体行业协会IC分会年会上的讲话"	"半导体行业%高端产品%电子封装%规模经营%科技创新"	"2003中国集成电路产业发展战略研讨会暨中国半导体行业协会IC分会年会论文集"	"2003中国集成电路产业发展战略研讨会暨中国半导体行业协会IC分会年会"	"中国半导体行业协会"	"20030918"
"HY000001040440"	"我国集成电路产业面临的形势和任务的思考"	"集成电路产业%产业形势%战略任务"	"全国第二届高新技术用石英制品及相关材料技术与市场研讨会论文集"	"全国第二届高新技术用石英制品及相关材料技术与市场研讨会"	"中国电子材料行业协会"	"20041000"
"HY000001050511"	"通信技术发展与集成电路和集成光路"	"通信器件%集成电路%集成光路%芯片设计"	"2003中国国际集成电路研讨会论文集"	"2003中国国际集成电路研讨会"	"中国半导体行业协会%中国集成电路杂志社"	"20030324"
"HY000001050529"	"中芯国际先进CMOS制程技术介绍"	"电子工业%集成电路%芯片技术%中芯国际"	"2003中国国际集成电路研讨会论文集"	"2003中国国际集成电路研讨会"	"中国半导体行业协会%中国集成电路杂志社"	"20030324"
"HY000001142067"	"我国集成电路产业面临的形势和任务的思考"	"集成电路产业%IC产业%芯片制造%封装测试%产业发展"	"2004年全国高精度铜带及电子工业用铜材技术与应用研讨会论文集"	"2004年全国高精度铜带及电子工业用铜材技术与应用研讨会"	"中国电子材料行业协会%中国有色金属加工工业协会"	"20041013"
"HY000001207707"	"印制线路板的耐离子迁移性能的探讨"	"印制线路板%离子迁移%绝缘电阻"	"第五届全国覆铜板技术·市场研讨会论文集"	"第五届全国覆铜板技术·市场研讨会"	"中国电子材料行业协会"	"20040921"
"HY000001429433"	"深化和完善集成电路产业政策 推进我国集成电路产业持续稳定发展-关于我国集成电路产业新政策的解读、执行和建议"		"中国管理科学文献"	"2008中国管理科学大会暨改革开放30年经济社会发展高层论坛"	"中国管理科学研究院"	"2008"
"HY000001615118"	"大数模乘硬件设计与FPGA高速实现"		"第九届保密通信与信息安全现状研讨会论文集"	"第九届保密通信与信息安全现状研讨会"	"《信息安全与保密通信》杂志社%国防科技保密通信重点实验室%中国电子科技集团公司第三十研究所"	"2005"
"HY000001638070"	"测试技术在通信工业上的应用与发展"	"集成电路%封装%测试技术%自动光学检测技术%自动X-射线检测%"	"武汉市首届学术年会通信学会2004年学术年会论文集"	"武汉市首届学术年会通信学会2004年学术年会"	"湖北省通信学会%武汉通信学会"	"2004"
"HY000001736471"	"立足技术创新自主研发、振兴中国医疗器械产业-迈瑞公司状况与技术发展"		"中华医学会医学工程学分会全国医疗器械应用技术评价暨医学影像技术研讨会论文集"	"中华医学会医学工程学分会全国医疗器械应用技术评价暨医学影像技术研讨会"	"中华医学会医学工程学分会"	"2003"
"HY000001742929"	"软袋大输液自动装卸及搬运系统的开发"	"软袋大输液%自动摆袋%自动卸袋%自动搬运系统%"	"兴业杯第四届中国制药装备论文集"			"2008"
"HY000001763558"	"FPGA技术在加速器中的应用"	"FPGA%计算机控制技术%集散控制%"	"第八届全国医用加速器学术交流会论文集"	"第八届全国医用加速器学术交流会"	"中国生物医学工程学会%中国物理学会粒子加速器分会"	"2009"
"HY000001763559"	"XHA600故障一例分析"	"安全保障措施%A/D转换%D/A转换%"	"第八届全国医用加速器学术交流会论文集"	"第八届全国医用加速器学术交流会"	"中国生物医学工程学会%中国物理学会粒子加速器分会"	"2009"
"HY000001766771"	"XHA1400双光子医用电子直线加速器的研制"	"双光子%研发流程%生产技术%"	"第八届全国医用加速器学术交流会论文集"	"第八届全国医用加速器学术交流会"	"中国生物医学工程学会%中国物理学会粒子加速器分会"	"2009"
"HY000001766772"	"放疗网络系统的开发"	"放疗网络%精确放疗%DICOM%"	"第八届全国医用加速器学术交流会论文集"	"第八届全国医用加速器学术交流会"	"中国生物医学工程学会%中国物理学会粒子加速器分会"	"2009"
"HY000001766773"	"内置多叶光栅集成"	"医用电子直线加速器%多叶光栅%MLC%"	"第八届全国医用加速器学术交流会论文集"	"第八届全国医用加速器学术交流会"	"中国生物医学工程学会%中国物理学会粒子加速器分会"	"2009"
"HY000001887069"	"钢水温度和成分智能控制系统"	"智能控制%钢包精炼炉控制%"	"2001中国钢铁年会论文集(下卷)"	"2001中国钢铁年会"	"中国金属学会"	"2001"
