"ID"	"Chinese_title"	"Chinese_periodical_name"	"years"	"Chinese_keyword"
"QK201003899262"	"十年同心路 迈上新征程"	"深交所"	"2010      "	"中国船舶重工集团%医疗器械%持续快速发展%2009年%共同投资%冠状动脉%艰苦奋斗%国外产品"
"QKBJB20192019062100021353"	"生态园林建设对环境保护的意义"	"建筑工程技术与设计"	"2019"	"生态园林建设%环境保护%意义%对策"
"QKBJB20192019110500001187"	"浅析环境保护工程中的环境监测"	"建筑工程技术与设计"	"2019"	"环境保护工程%环境监测%建议"
"QKBJBD20202020101000000442"	"SAP系统在国内推广过程中存在的问题及应对措施"	"中国经贸"	"2020"	"SAP系统%信息管理系统%ERP系统"
"QKBJBD20202020102200003736"	"对金融科技背景下商业银行开展数字化营销的思考"	"商情"	"2020"	"金融科技%数字化营销%思考"
"QKC20192018121900116223"	"浅析集成电路设计企业成本管控"	"中国集体经济"	"2019"	"集成电路设计%流片成本%委外加工成本%成本管控"
"QKC20192019022700002164"	"物联网产业化发展与农业信息资源的结合"	"电子技术与软件工程"	"2019"	"物联网产业化发展%农业信息资源开发%结合"
"QKC20192019022700053649"	"浅析大数据技术对管理会计的影响"	"科技经济导刊"	"2019"	"大数据%管理会计%发展"
"QKC20192019022700086699"	"从新松看工业机器人关键技术"	"互联网经济"	"2019"	"工业机器人%新松%机器人关节%生产水平%机器人控制器%轨迹规划%绝对精度%机器人作业%智能制造%前馈控制"
"QKC20192019022700119393"	"以大数据与人工智能赋能新时代"	"软件和集成电路"	"2019"	"数据交换平台%人工智能%非结构化%工具产品%自主知识产权%赋能%医疗保健%底层%智能分析%技术积累"
"QKC20192019022700125905"	"冬天里零售行业的一些思考"	"软件和集成电路"	"2019"	"整体经济发展%腾讯%业务模块%经济下滑%裁员潮%引擎%整合阶段%线下%基础支撑%纵向"
"QKC20192019022700153730"	"大数据时代人工智能在计算机网络技术中的应用研究"	"计算机产品与流通"	"2019"	"科学技术%计算机网络技术%大数据%建议"
"QKC20192019022700160759"	"基于云架构的数据交换共享平台研究与设计"	"通讯世界"	"2019"	"数据交换%共享平台%云架构"
"QKC20192019022700164964"	"商品防伪溯源查询系统的设计与实现"	"物联网技术"	"2019"	"防伪%溯源%点阵编码%点阵数码笔"
"QKC20192019022700167897"	"铁路综合视频监控系统云架构应用探讨"	"中国铁路"	"2019"	"铁路综合视频监控%云架构%云存储%视频数据结构化%物联大数据"
"QKC20192019022700175662"	"钛合金焊缝的超声检测工艺"	"无损检测"	"2019"	"横波斜探头%钛合金%对比试块%超声检测工艺"
"QKC20192019022700204931"	"浅谈印刷智能工厂"	"印刷杂志"	"2019"	"智能工厂%模块化%软智能%硬智能%融合集成"
"QKC20192019030400038262"	"存储器封装技术发展浅析"	"中国集成电路"	"2019"	"存储器%封装%发展"
"QKC20192019030400104217"	"市政污水污泥处理现状及可持续发展对策"	"化工设计通讯"	"2019"	"污水污泥%管理现状%可持续发展对策"
"QKC20192019030400106824"	"云会计问题研究"	"现代营销(下旬刊)"	"2019"	"大数据时代%云会计%战略管理会计%问题%对策"
"QKC20192019030400124016"	"光刻法图案化石墨烯研究"	"液晶与显示"	"2019"	"光刻%石墨烯%方块电阻%关键尺寸"
"QKC20192019030400126625"	"大数据背景下企业人力资源管理创新"	"智库时代"	"2019"	"大数据%人力资源%管理创新%重要性%实现路径"
