"机构名称(中文)"	"机构ID"	"ID"	"publish_date"
"上海贝岭股份有限公司"	"02600171"	"HY000000395302"	"20010412"
"许继电气股份有限公司"	"01000400"	"HY000000466611"	"20021101"
"东方通信股份有限公司"	"02600776"	"HY000000472539"	"20030801"
"宁波康强电子股份有限公司"	"03133306"	"HY000000474808"	"20030701"
"宁波康强电子股份有限公司"	"03133306"	"HY000000499248"	"20030801"
"广东生益科技股份有限公司"	"02600183"	"HY000000572426"	"20041101"
"江苏长电科技股份有限公司"	"03130393"	"HY000000895345"	"20030918"
"江苏长电科技股份有限公司"	"03130393"	"HY000001040440"	"20041000"
"大唐电信科技股份有限公司"	"02600198"	"HY000001050511"	"20030324"
"中芯国际集成电路制造有限公司"	"T000001188"	"HY000001050529"	"20030324"
"江苏长电科技股份有限公司"	"03130393"	"HY000001142067"	"20041013"
"广东生益科技股份有限公司"	"02600183"	"HY000001207707"	"20040921"
"江苏长电科技股份有限公司"	"03130393"	"HY000001429433"	"2008"
"成都卫士通信息产业股份有限公司"	"00076772"	"HY000001615118"	"2005"
"烽火通信科技股份有限公司"	"03130024"	"HY000001638070"	"2004"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"HY000001736471"	"2003"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000001742929"	"2008"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000001763558"	"2009"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000001763559"	"2009"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000001766771"	"2009"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000001766772"	"2009"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000001766773"	"2009"
"北京金自天正智能控制股份有限公司"	"03130181"	"HY000001887069"	"2001"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000002232512"	"2009"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000002232513"	"2009"
"山东新华医疗器械股份有限公司"	"03130186"	"HY000002232514"	"2009"
"安徽富煌钢构股份有限公司"	"00201540"	"HY000002265686"	"2008"
