"机构名称(中文)"	"机构ID"	"ID"	"years"
"乐普(北京)医疗器械股份有限公司"	"T000025726"	"QK201003899262"	"2010      "
"长城汽车股份有限公司"	"00076247"	"QKBJB20192019062100021353"	"2019"
"广西博世科环保科技股份有限公司"	"T000059619"	"QKBJB20192019110500001187"	"2019"
"广州维力医疗器械股份有限公司"	"T000061596"	"QKBJBD20202020101000000442"	"2020"
"中国建设银行股份有限公司"	"03134029"	"QKBJBD20202020102200003736"	"2020"
"上海贝岭股份有限公司"	"02600171"	"QKC20192018121900116223"	"2019"
"河南安彩高科股份有限公司"	"02600207"	"QKC20192019022700002164"	"2019"
"北京金隅集团股份有限公司"	"T000025336"	"QKC20192019022700053649"	"2019"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"QKC20192019022700086699"	"2019"
"北京久其软件股份有限公司"	"03132059"	"QKC20192019022700119393"	"2019"
"宁波太平鸟时尚服饰股份有限公司"	"T000125151"	"QKC20192019022700125905"	"2019"
"杭州前进齿轮箱集团股份有限公司"	"T000028023"	"QKC20192019022700153730"	"2019"
"太极计算机股份有限公司"	"T000026778"	"QKC20192019022700160759"	"2019"
"深圳市裕同包装科技股份有限公司"	"T000159938"	"QKC20192019022700164964"	"2019"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019022700167897"	"2019"
"南京宝色股份公司"	"T000044140"	"QKC20192019022700175662"	"2019"
"汕头东风印刷股份有限公司"	"T000056402"	"QKC20192019022700204931"	"2019"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019030400038262"	"2019"
"上海洗霸科技股份有限公司"	"T000238151"	"QKC20192019030400104217"	"2019"
"富奥汽车零部件股份有限公司"	"01000030"	"QKC20192019030400106824"	"2019"
"京东方科技集团股份有限公司"	"01002725"	"QKC20192019030400124016"	"2019"
"大禹节水集团股份有限公司"	"T000025754"	"QKC20192019030400126625"	"2019"
"中设设计集团股份有限公司"	"T000058810"	"QKC20192019031100029982"	"2019"
"上海华测导航技术股份有限公司"	"T000271200"	"QKC20192019031100033062"	"2019"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019031100079874"	"2019"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019031100080210"	"2019"
"传化智联股份有限公司"	"03130771"	"QKC20192019031100109866"	"2019"
"紫金矿业集团股份有限公司"	"03134633"	"QKC20192019031100135748"	"2019"
"浙江闰土股份有限公司"	"03147683"	"QKC20192019031100138506"	"2019"
"陕西烽火电子股份有限公司"	"01000561"	"QKC20192019031100144779"	"2019"
"科大讯飞股份有限公司"	"03134688"	"QKC20192019031300015897"	"2019"
"广州杰赛科技股份有限公司"	"T000026694"	"QKC20192019031300022036"	"2019"
"杭州海康威视数字技术股份有限公司"	"T000026753"	"QKC20192019031300048108"	"2019"
"优刻得科技股份有限公司"	"T000137302"	"QKC20192019031300114227"	"2019"
"启明星辰信息技术集团股份有限公司"	"T000027264"	"QKC20192019031300139145"	"2019"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"QKC20192019031300142905"	"2019"
"中国民生银行股份有限公司"	"03129930"	"QKC20192019032500003405"	"2019"
"中国民生银行股份有限公司"	"03129930"	"QKC20192019032500020195"	"2019"
"中联重科股份有限公司"	"01000157"	"QKC20192019032500021238"	"2019"
"宝胜科技创新股份有限公司"	"03130807"	"QKC20192019032500040039"	"2019"
"上海贝岭股份有限公司"	"02600171"	"QKC20192019032500041767"	"2019"
"上海贝岭股份有限公司"	"02600171"	"QKC20192019032500046772"	"2019"
"中联重科股份有限公司"	"01000157"	"QKC20192019032500046922"	"2019"
"抚顺特殊钢股份有限公司"	"03129943"	"QKC20192019032500050299"	"2019"
"上海贝岭股份有限公司"	"02600171"	"QKC20192019032500059667"	"2019"
"上海陆家嘴金融贸易区开发股份有限公司"	"02600663"	"QKC20192019032500061516"	"2019"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019032500111633"	"2019"
"长飞光纤光缆股份有限公司"	"T000161964"	"QKC20192019032500129985"	"2019"
"国泰君安证券股份有限公司"	"03131099"	"QKC20192019032500136011"	"2019"
"上海洗霸科技股份有限公司"	"T000238151"	"QKC20192019032500143889"	"2019"
"广州海格通信集团股份有限公司"	"T000027805"	"QKC20192019032800000034"	"2019"
"郑州天迈科技股份有限公司"	"T000174145"	"QKC20192019032800016762"	"2019"
