"机构名称(中文)"	"机构ID"	"apply_numb"	"notice_date"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99320920.3"	"2000.05.17"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222197.8"	"2000.11.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222198.6"	"2001.02.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99320995.5"	"2000.05.17"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222322.9"	"2000.08.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222339.3"	"2000.08.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222340.7"	"2000.11.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99112445.6"	"2001.08.01"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99222372.5"	"2000.09.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN99112450.2"	"2001.03.28"
"上海贝岭股份有限公司"	"02600171"	"CN00115338.2"	"2001.10.10"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214238.4"	"2001.07.04"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214240.6"	"2001.06.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00311592.5"	"2001.05.16"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214384.4"	"2001.02.07"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00111020.9"	"2001.11.07"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214383.6"	"2001.02.07"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214280.5"	"2001.02.21"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214286.4"	"2001.02.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214285.6"	"2001.02.28"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214279.1"	"2001.02.21"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214486.7"	"2001.02.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214579.0"	"2001.03.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00247452.2"	"2001.07.25"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00111362.3"	"2002.03.27"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00129168.8"	"2001.10.24"
"宝山钢铁股份有限公司"	"02600019"	"CN00265599.3"	"2001.10.24"
"上海贝岭股份有限公司"	"02600171"	"CN01112662.0"	"2002.11.27"
"山东新华医疗器械股份有限公司"	"03130186"	"CN01317032.5"	"2001.11.28"
"山东新华医疗器械股份有限公司"	"03130186"	"CN01236677.3"	"2002.02.13"
"天津环球磁卡股份有限公司"	"02600800"	"CN01229321.0"	"2002.04.17"
"天津环球磁卡股份有限公司"	"02600800"	"CN01229322.9"	"2002.04.17"
"安徽四创电子股份有限公司"	"03130709"	"CN01244841.9"	"2002.05.01"
"天津环球磁卡股份有限公司"	"02600800"	"CN02202813.7"	"2002.11.20"
"天津环球磁卡股份有限公司"	"02600800"	"CN02103729.9"	"2002.08.28"
"山东新华医疗器械股份有限公司"	"03130186"	"CN02268499.9"	"2003.10.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN02268500.6"	"2003.06.25"
"山东新华医疗器械股份有限公司"	"03130186"	"CN02268973.7"	"2003.07.02"
"上海贝岭股份有限公司"	"02600171"	"CN02137282.9"	"2004.03.31"
"上海贝岭股份有限公司"	"02600171"	"CN02145434.5"	"2004.06.09"
"比亚迪股份有限公司"	"T000001787"	"CN02290086.1"	"2004.01.14"
"上海贝岭股份有限公司"	"02600171"	"CN02157799.4"	"2004.07.07"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"CN02250812.0"	"2003.11.26"
"上海贝岭股份有限公司"	"02600171"	"CN02158990.9"	"2004.07.14"
"上海贝岭股份有限公司"	"02600171"	"CN02160554.8"	"2004.07.21"
"上海贝岭股份有限公司"	"02600171"	"CN02160536.X"	"2004.07.21"
"上海贝岭股份有限公司"	"02600171"	"CN02160537.8"	"2004.07.21"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03215355.4"	"2004.03.24"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03215356.2"	"2004.03.24"
"中兴通讯股份有限公司"	"01000063"	"CN03115850.1"	"2004.09.22"
"苏州固锝电子股份有限公司"	"03132158"	"CN03113249.9"	"2003.09.24"
"上海贝岭股份有限公司"	"02600171"	"CN03116713.6"	"2004.11.03"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03217331.8"	"2004.06.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03217332.6"	"2004.06.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03217349.0"	"2004.06.30"
"上海航天汽车机电股份有限公司"	"02600151"	"CN03255243.2"	"2004.08.18"
"上海航天汽车机电股份有限公司"	"02600151"	"CN03255245.9"	"2004.08.18"
"中国石油天然气股份有限公司"	"03134153"	"CN03146384.3"	"2005.01.26"
"中国石油天然气股份有限公司"	"03134153"	"CN03146385.1"	"2005.01.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03139173.7"	"2005.03.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03270980.3"	"2004.09.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03270801.7"	"2004.09.15"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"CN200320128401.2"	"2005.03.30"
"上海贝岭股份有限公司"	"02600171"	"CN200310109389.5"	"2005.06.22"
"上海贝岭股份有限公司"	"02600171"	"CN200310109390.8"	"2005.06.22"
"上海贝岭股份有限公司"	"02600171"	"CN200310122634.6"	"2005.06.29"
"上海贝岭股份有限公司"	"02600171"	"CN200310122698.6"	"2005.06.29"
"贵研铂业股份有限公司"	"03130385"	"CN200310121010.2"	"2004.12.22"
"贵研铂业股份有限公司"	"03130385"	"CN200320104769.5"	"2005.01.26"
"四川长虹电器股份有限公司"	"02600839"	"CN200320104757.2"	"2005.02.02"
"上海贝岭股份有限公司"	"02600171"	"CN200320123060.X"	"2005.03.02"
"中兴通讯股份有限公司"	"01000063"	"CN200410000775.5"	"2004.12.29"
"中兴通讯股份有限公司"	"01000063"	"CN200420005667.2"	"2005.08.17"
"天津环球磁卡股份有限公司"	"02600800"	"CN200420028771.3"	"2005.09.07"
"广东风华高新科技股份有限公司"	"01000636"	"CN200430039023.0"	"2005.01.26"
"浙江大华技术股份有限公司"	"03134713"	"CN200420023369.6"	"2005.05.11"
"四川长虹电器股份有限公司"	"02600839"	"CN200420033923.9"	"2005.06.08"
"方大集团股份有限公司"	"01000055"	"CN200410027646.5"	"2006.01.04"
"江苏长电科技股份有限公司"	"03130393"	"CN200420078494.7"	"2005.10.12"
"江苏长电科技股份有限公司"	"03130393"	"CN200710007837.9"	"2007.07.04"
"江苏长电科技股份有限公司"	"03130393"	"CN200410041645.6"	"2005.03.23"
"上海贝岭股份有限公司"	"02600171"	"CN200410066848.0"	"2006.04.05"
"方大集团股份有限公司"	"01000055"	"CN200420150549.0"	"2006.06.21"
"方大集团股份有限公司"	"01000055"	"CN200410077378.8"	"2006.06.14"
"上海贝岭股份有限公司"	"02600171"	"CN200420110856.6"	"2006.04.05"
"上海贝岭股份有限公司"	"02600171"	"CN200410089212.8"	"2006.06.14"
