"机构名称(中文)"	"机构ID"	"notice_numb"	"notice_date"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100342293C"	"20071010"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100345074C"	"20071024"
"西部金属材料股份有限公司"	"03133852"	"CN100355528C"	"20071219"
"西部金属材料股份有限公司"	"03133852"	"CN100368136C"	"20080213"
"金堆城钼业股份有限公司"	"03134603"	"CN100417738C"	"20080910"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN100419219C"	"20080917"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100419605C"	"20080917"
"西部金属材料股份有限公司"	"03133852"	"CN100439036C"	"20081203"
"西部金属材料股份有限公司"	"03133852"	"CN100439522C"	"20081203"
"西部金属材料股份有限公司"	"03133852"	"CN100439523C"	"20081203"
"东软集团股份有限公司"	"02600718"	"CN100447831C"	"20081231"
"沈阳化工股份有限公司"	"01000698"	"CN100455610C"	"20090128"
"中国西电电气股份有限公司"	"T000025764"	"CN100463093C"	"20090218"
"西部金属材料股份有限公司"	"03133852"	"CN100464880C"	"20090304"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100493829C"	"20090603"
"中国西电电气股份有限公司"	"T000025764"	"CN100498254C"	"20090610"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN100503095C"	"20090624"
"陕西航天动力高科技股份有限公司"	"03130369"	"CN100504072C"	"20090624"
"沈阳化工股份有限公司"	"01000698"	"CN100509882C"	"20090708"
"沈阳化工股份有限公司"	"01000698"	"CN100509943C"	"20090708"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN100511056C"	"20090708"
"中国西电电气股份有限公司"	"T000025764"	"CN100517531C"	"20090722"
"中国西电电气股份有限公司"	"T000025764"	"CN100517539C"	"20090722"
"中国西电电气股份有限公司"	"T000025764"	"CN100518120C"	"20090722"
"西安标准工业股份有限公司"	"02600302"	"CN100523270C"	"20090805"
"东软集团股份有限公司"	"02600718"	"CN100524383C"	"20090805"
"西部金属材料股份有限公司"	"03133852"	"CN100528394C"	"20090819"
"西部金属材料股份有限公司"	"03133852"	"CN100529150C"	"20090819"
"中国西电电气股份有限公司"	"T000025764"	"CN100530259C"	"20090819"
"东软集团股份有限公司"	"02600718"	"CN100533628C"	"20090826"
