tensor(-8.4821)	tensor(-9.6476)	tensor(-8.0399)	tensor(-9.6599)	tensor(-9.2839)	tensor(-7.3293)	tensor(-3.6899)	tensor(-6.9019)	tensor(-6.6092)	tensor(-5.2817)	tensor(-5.9396)	tensor(-8.1217)	tensor(-2.4958)	tensor(1.3531)	tensor(-6.1333)	tensor(-6.0010)	tensor(-4.4029)	tensor(-7.1805)	tensor(-5.2308)	tensor(-8.7708)	tensor(-11.7523)	tensor(-10.0244)	tensor(-8.5203)	tensor(-10.1535)	tensor(-13.7023)	tensor(-9.0014)	tensor(-7.4760)	tensor(-8.4242)	tensor(-8.6940)	tensor(-8.3541)	tensor(-7.1591)	tensor(-4.3230)	tensor(-6.3384)	tensor(-3.2902)	tensor(-9.4979)	tensor(-7.4465)	tensor(-6.3976)	tensor(-9.6071)	tensor(-7.2777)	tensor(-6.9929)	
tensor(-7.8357)	tensor(-8.5023)	tensor(-6.9654)	tensor(-8.6546)	tensor(-8.7685)	tensor(-6.4333)	tensor(-3.1413)	tensor(-6.8012)	tensor(-6.5206)	tensor(-6.4857)	tensor(-5.5451)	tensor(-6.5313)	tensor(-1.2178)	tensor(1.4949)	tensor(-3.8630)	tensor(-6.0150)	tensor(-3.4783)	tensor(-6.6251)	tensor(-4.3898)	tensor(-8.0572)	tensor(-11.6347)	tensor(-9.3445)	tensor(-7.7017)	tensor(-8.9994)	tensor(-12.7135)	tensor(-8.3078)	tensor(-6.5756)	tensor(-7.7518)	tensor(-8.2137)	tensor(-7.7088)	tensor(-7.4131)	tensor(-3.7418)	tensor(-5.9408)	tensor(-2.3168)	tensor(-8.5074)	tensor(-6.7133)	tensor(-5.3657)	tensor(-9.7382)	tensor(-7.8450)	tensor(-7.6059)	
tensor(-9.0589)	tensor(-9.9670)	tensor(-8.6204)	tensor(-10.2655)	tensor(-10.3662)	tensor(-9.1238)	tensor(-6.7241)	tensor(-8.2796)	tensor(-8.3083)	tensor(-7.9385)	tensor(-7.8437)	tensor(-9.4984)	tensor(-4.1289)	tensor(-2.1672)	tensor(-7.1185)	tensor(-7.9951)	tensor(-6.8444)	tensor(-7.6382)	tensor(-6.4472)	tensor(-9.2130)	tensor(-12.5165)	tensor(-10.5232)	tensor(-9.0655)	tensor(-10.4888)	tensor(-14.6579)	tensor(-9.6279)	tensor(-7.9826)	tensor(-8.2527)	tensor(-8.4188)	tensor(-9.0416)	tensor(-9.1758)	tensor(-6.0540)	tensor(-8.5690)	tensor(-5.3075)	tensor(-10.9862)	tensor(-9.6993)	tensor(-8.6583)	tensor(-10.4631)	tensor(-7.9110)	tensor(-8.6530)	
tensor(-9.0886)	tensor(-9.4880)	tensor(-8.2636)	tensor(-9.4081)	tensor(-9.9142)	tensor(-8.7760)	tensor(-2.2724)	tensor(-8.5690)	tensor(-8.2812)	tensor(-7.9409)	tensor(-6.8760)	tensor(-8.8984)	tensor(-3.9765)	tensor(-1.4949)	tensor(-5.6303)	tensor(-7.3154)	tensor(-5.7387)	tensor(-8.6641)	tensor(-6.6486)	tensor(-9.4511)	tensor(-12.8657)	tensor(-11.4261)	tensor(-9.5742)	tensor(-10.7980)	tensor(-13.8997)	tensor(-9.4114)	tensor(-8.3067)	tensor(-9.3626)	tensor(-9.5317)	tensor(-9.0898)	tensor(-9.5182)	tensor(-6.1335)	tensor(-8.6362)	tensor(-4.7198)	tensor(-10.1383)	tensor(-7.2176)	tensor(-6.9440)	tensor(-10.3926)	tensor(-8.3811)	tensor(-8.6051)	
tensor(-7.7984)	tensor(-9.6933)	tensor(-7.0321)	tensor(-9.2911)	tensor(-8.7221)	tensor(-8.0563)	tensor(-5.1655)	tensor(-7.9170)	tensor(-7.7111)	tensor(-9.7120)	tensor(-6.6534)	tensor(-7.8882)	tensor(-2.3939)	tensor(-3.3911)	tensor(-6.9089)	tensor(-6.6593)	tensor(-5.0589)	tensor(-6.9054)	tensor(-4.7372)	tensor(-8.9278)	tensor(-11.6307)	tensor(-10.3311)	tensor(-7.7278)	tensor(-9.9583)	tensor(-13.0966)	tensor(-8.3797)	tensor(-7.6631)	tensor(-8.8449)	tensor(-8.9776)	tensor(-8.0173)	tensor(-8.5537)	tensor(-4.6927)	tensor(-7.0215)	tensor(-3.8262)	tensor(-9.2883)	tensor(-9.3307)	tensor(-8.2089)	tensor(-9.4274)	tensor(-6.0291)	tensor(-6.3906)	
tensor(-10.3375)	tensor(-11.5735)	tensor(-9.8397)	tensor(-11.4825)	tensor(-11.2218)	tensor(-11.4068)	tensor(-9.7745)	tensor(-10.9999)	tensor(-10.8244)	tensor(-13.0824)	tensor(-9.4672)	tensor(-10.8164)	tensor(-7.3203)	tensor(-8.7928)	tensor(-10.8165)	tensor(-10.3296)	tensor(-8.8107)	tensor(-8.8468)	tensor(-7.3596)	tensor(-10.2332)	tensor(-13.1010)	tensor(-11.5706)	tensor(-10.0489)	tensor(-11.2323)	tensor(-14.0405)	tensor(-11.1164)	tensor(-9.5059)	tensor(-10.7393)	tensor(-11.2227)	tensor(-10.7015)	tensor(-11.8568)	tensor(-9.3057)	tensor(-11.0814)	tensor(-8.1144)	tensor(-12.2558)	tensor(-12.7342)	tensor(-12.3828)	tensor(-11.6687)	tensor(-9.4460)	tensor(-9.9209)	
tensor(-7.7116)	tensor(-9.3723)	tensor(-7.4092)	tensor(-9.2418)	tensor(-9.0893)	tensor(-9.2532)	tensor(-7.6913)	tensor(-9.7157)	tensor(-9.7459)	tensor(-11.9446)	tensor(-8.1221)	tensor(-9.3645)	tensor(-5.9248)	tensor(-8.3235)	tensor(-9.7556)	tensor(-7.8711)	tensor(-4.1365)	tensor(-7.7368)	tensor(-6.5814)	tensor(-9.9566)	tensor(-12.5192)	tensor(-11.4819)	tensor(-8.1293)	tensor(-11.0673)	tensor(-13.2646)	tensor(-9.0214)	tensor(-7.9873)	tensor(-9.6415)	tensor(-9.5778)	tensor(-8.2957)	tensor(-9.6005)	tensor(-7.3384)	tensor(-9.3877)	tensor(-7.3239)	tensor(-10.5049)	tensor(-10.5521)	tensor(-10.6233)	tensor(-9.8547)	tensor(-8.3745)	tensor(-9.1717)	
tensor(-8.0626)	tensor(-9.0167)	tensor(-7.7462)	tensor(-9.2358)	tensor(-8.4215)	tensor(-7.7666)	tensor(-6.9890)	tensor(-6.6386)	tensor(-7.3140)	tensor(-9.9105)	tensor(-6.4045)	tensor(-8.2763)	tensor(-3.1382)	tensor(-6.2460)	tensor(-9.3662)	tensor(-7.1607)	tensor(-4.9804)	tensor(-7.5627)	tensor(-5.6789)	tensor(-8.9878)	tensor(-11.0522)	tensor(-10.0006)	tensor(-8.3195)	tensor(-9.9775)	tensor(-12.6130)	tensor(-8.0353)	tensor(-7.5327)	tensor(-8.8041)	tensor(-8.8460)	tensor(-7.7145)	tensor(-8.2267)	tensor(-5.0140)	tensor(-7.7541)	tensor(-5.3520)	tensor(-9.4328)	tensor(-9.3547)	tensor(-8.5689)	tensor(-9.3964)	tensor(-6.9128)	tensor(-7.2219)	
tensor(-1.9284)	tensor(-1.4610)	tensor(-0.7922)	tensor(-2.2628)	tensor(0.4347)	tensor(-6.7778)	tensor(-6.0771)	tensor(-7.9579)	tensor(-7.0167)	tensor(-10.2420)	tensor(-6.3430)	tensor(-8.4590)	tensor(-4.7037)	tensor(-6.6258)	tensor(-8.1367)	tensor(-7.0081)	tensor(-4.7752)	tensor(-4.0466)	tensor(-3.3212)	tensor(-3.3509)	tensor(-9.1484)	tensor(-7.9443)	tensor(-3.8057)	tensor(-1.8359)	tensor(-5.0146)	tensor(-0.1475)	tensor(-3.1367)	tensor(-3.1826)	tensor(-1.3837)	tensor(-0.2530)	tensor(-8.1301)	tensor(-5.6341)	tensor(-8.3769)	tensor(-5.4270)	tensor(-8.8060)	tensor(-8.0019)	tensor(-8.7609)	tensor(-6.3616)	tensor(-5.1557)	tensor(-6.3692)	
tensor(-9.3655)	tensor(-8.9238)	tensor(-8.4284)	tensor(-10.1055)	tensor(-9.2975)	tensor(-10.9246)	tensor(-8.6049)	tensor(-9.9258)	tensor(-10.4691)	tensor(-12.9017)	tensor(-10.0577)	tensor(-11.2550)	tensor(-8.3710)	tensor(-9.5558)	tensor(-9.2896)	tensor(-8.6899)	tensor(-8.4890)	tensor(-7.5133)	tensor(-8.6187)	tensor(-10.3483)	tensor(-13.3655)	tensor(-11.0985)	tensor(-9.2601)	tensor(-10.6505)	tensor(-13.9208)	tensor(-9.4145)	tensor(-8.6173)	tensor(-9.4938)	tensor(-8.9867)	tensor(-8.6541)	tensor(-11.0024)	tensor(-8.3541)	tensor(-11.3971)	tensor(-8.6551)	tensor(-11.8803)	tensor(-11.7120)	tensor(-11.5160)	tensor(-7.1917)	tensor(-2.2436)	tensor(-2.9020)	
tensor(-8.2335)	tensor(-8.2331)	tensor(-6.8192)	tensor(-8.8222)	tensor(-8.3391)	tensor(-9.0084)	tensor(-7.4250)	tensor(-9.1217)	tensor(-7.8878)	tensor(-11.3484)	tensor(-7.8447)	tensor(-9.6018)	tensor(-6.7727)	tensor(-7.7995)	tensor(-8.2602)	tensor(-7.2999)	tensor(-6.2220)	tensor(-6.7254)	tensor(-6.2701)	tensor(-8.6529)	tensor(-10.3599)	tensor(-10.2581)	tensor(-8.0000)	tensor(-9.4575)	tensor(-12.3695)	tensor(-8.4046)	tensor(-7.3178)	tensor(-8.6426)	tensor(-8.1749)	tensor(-8.1157)	tensor(-9.9511)	tensor(-6.5238)	tensor(-9.1900)	tensor(-6.7269)	tensor(-9.7329)	tensor(-9.7821)	tensor(-9.3357)	tensor(-8.0712)	tensor(-4.1363)	tensor(-3.0826)	
