tensor(-9.7689)	tensor(-10.6447)	tensor(-9.6104)	tensor(-10.8332)	tensor(-10.2666)	tensor(-9.9619)	tensor(-8.2017)	tensor(-10.2881)	tensor(-10.0980)	tensor(-11.4216)	tensor(-10.0811)	tensor(-9.7398)	tensor(-6.3137)	tensor(-7.9148)	tensor(-8.9058)	tensor(-9.4750)	tensor(-6.6146)	tensor(-8.8476)	tensor(-6.9261)	tensor(-8.9730)	tensor(-11.7247)	tensor(-10.7202)	tensor(-10.6977)	tensor(-10.4041)	tensor(-12.9655)	tensor(-10.1799)	tensor(-9.3834)	tensor(-8.9587)	tensor(-9.3849)	tensor(-9.9651)	tensor(-11.1202)	tensor(-8.1427)	tensor(-10.0453)	tensor(-8.5973)	tensor(-11.3288)	tensor(-11.2757)	tensor(-10.4922)	tensor(-10.1302)	tensor(-8.7186)	tensor(-10.2335)	
tensor(-10.6054)	tensor(-11.0473)	tensor(-9.2764)	tensor(-11.5865)	tensor(-9.9435)	tensor(-10.6356)	tensor(-9.1328)	tensor(-9.9605)	tensor(-10.5251)	tensor(-12.9107)	tensor(-10.7456)	tensor(-9.9484)	tensor(-8.3184)	tensor(-9.1713)	tensor(-11.2271)	tensor(-6.1924)	tensor(-7.5069)	tensor(-9.6205)	tensor(-8.9034)	tensor(-10.3597)	tensor(-13.0522)	tensor(-12.4858)	tensor(-11.2513)	tensor(-10.8760)	tensor(-14.0291)	tensor(-10.4222)	tensor(-9.8166)	tensor(-10.2954)	tensor(-9.9750)	tensor(-10.4350)	tensor(-11.4234)	tensor(-8.7694)	tensor(-10.1069)	tensor(-8.8463)	tensor(-12.2075)	tensor(-12.3395)	tensor(-10.9402)	tensor(-9.8820)	tensor(-8.5116)	tensor(-10.4487)	
tensor(-8.9291)	tensor(-9.6145)	tensor(-8.0440)	tensor(-10.2356)	tensor(-9.3262)	tensor(-9.5453)	tensor(-8.0096)	tensor(-9.5107)	tensor(-9.6483)	tensor(-11.2401)	tensor(-9.9096)	tensor(-9.8181)	tensor(-7.9770)	tensor(-8.1461)	tensor(-8.1822)	tensor(-8.1143)	tensor(-7.4416)	tensor(-7.4691)	tensor(-7.2352)	tensor(-8.6420)	tensor(-11.5292)	tensor(-9.7694)	tensor(-9.0630)	tensor(-9.8367)	tensor(-12.3630)	tensor(-9.7099)	tensor(-8.0826)	tensor(-8.4947)	tensor(-9.0215)	tensor(-9.5300)	tensor(-10.9831)	tensor(-7.4741)	tensor(-10.1337)	tensor(-8.1004)	tensor(-9.8258)	tensor(-10.7171)	tensor(-8.9864)	tensor(-6.5018)	tensor(-4.3878)	tensor(-4.3878)	
tensor(-9.4153)	tensor(-9.5466)	tensor(-8.2592)	tensor(-10.3848)	tensor(-9.7143)	tensor(-10.3475)	tensor(-8.6261)	tensor(-10.7440)	tensor(-9.1661)	tensor(-12.3758)	tensor(-10.1823)	tensor(-10.3508)	tensor(-8.2294)	tensor(-8.9846)	tensor(-9.3883)	tensor(-8.2119)	tensor(-7.0448)	tensor(-7.9869)	tensor(-8.0471)	tensor(-9.3324)	tensor(-13.2445)	tensor(-10.6501)	tensor(-9.5356)	tensor(-9.9735)	tensor(-12.8866)	tensor(-10.0184)	tensor(-7.6429)	tensor(-8.7152)	tensor(-8.8075)	tensor(-9.4887)	tensor(-10.4458)	tensor(-7.8554)	tensor(-9.4921)	tensor(-8.8077)	tensor(-10.4824)	tensor(-11.2387)	tensor(-10.0124)	tensor(-8.3766)	tensor(-5.4499)	tensor(-3.8022)	
tensor(-10.9681)	tensor(-11.1124)	tensor(-10.5947)	tensor(-12.3049)	tensor(-11.2934)	tensor(-11.8527)	tensor(-11.6900)	tensor(-13.0606)	tensor(-12.5147)	tensor(-14.0739)	tensor(-12.5090)	tensor(-9.1342)	tensor(-9.9279)	tensor(-9.8717)	tensor(-12.1593)	tensor(-11.2542)	tensor(-9.8514)	tensor(-10.6266)	tensor(-9.6954)	tensor(-11.3282)	tensor(-14.8187)	tensor(-13.0412)	tensor(-11.5194)	tensor(-11.7223)	tensor(-14.5353)	tensor(-11.5800)	tensor(-10.3274)	tensor(-10.9590)	tensor(-11.4877)	tensor(-11.1487)	tensor(-11.3321)	tensor(-10.3660)	tensor(-9.9815)	tensor(-8.9747)	tensor(-13.3607)	tensor(-12.9088)	tensor(-11.3281)	tensor(-11.7533)	tensor(-10.3498)	tensor(-11.6531)	
tensor(-8.9291)	tensor(-9.6145)	tensor(-8.0440)	tensor(-10.2356)	tensor(-9.3262)	tensor(-9.5453)	tensor(-8.0096)	tensor(-9.5107)	tensor(-9.6483)	tensor(-11.2401)	tensor(-9.9096)	tensor(-9.8181)	tensor(-7.9770)	tensor(-8.1461)	tensor(-8.1822)	tensor(-8.1143)	tensor(-7.4416)	tensor(-7.4691)	tensor(-7.2352)	tensor(-8.6420)	tensor(-11.5292)	tensor(-9.7694)	tensor(-9.0630)	tensor(-9.8367)	tensor(-12.3630)	tensor(-9.7099)	tensor(-8.0826)	tensor(-8.4947)	tensor(-9.0215)	tensor(-9.5300)	tensor(-10.9831)	tensor(-7.4741)	tensor(-10.1337)	tensor(-8.1004)	tensor(-9.8258)	tensor(-10.7171)	tensor(-8.9864)	tensor(-6.5018)	tensor(-4.5474)	tensor(-3.5474)	
tensor(-8.9291)	tensor(-9.6145)	tensor(-8.0440)	tensor(-10.2356)	tensor(-9.3262)	tensor(-9.5453)	tensor(-8.0096)	tensor(-9.5107)	tensor(-9.6483)	tensor(-11.2401)	tensor(-9.9096)	tensor(-9.8181)	tensor(-7.9770)	tensor(-8.1461)	tensor(-8.1822)	tensor(-8.1143)	tensor(-7.4416)	tensor(-7.4691)	tensor(-7.2352)	tensor(-8.6420)	tensor(-11.5292)	tensor(-9.7694)	tensor(-9.0630)	tensor(-9.8367)	tensor(-12.3630)	tensor(-9.7099)	tensor(-8.0826)	tensor(-8.4947)	tensor(-9.0215)	tensor(-9.5300)	tensor(-10.9831)	tensor(-7.4741)	tensor(-10.1337)	tensor(-8.1004)	tensor(-9.8258)	tensor(-10.7171)	tensor(-8.9864)	tensor(-6.5018)	tensor(-2.1608)	tensor(-3.1608)	
tensor(-7.7177)	tensor(-9.1021)	tensor(-7.4599)	tensor(-9.5649)	tensor(-8.4038)	tensor(-8.8989)	tensor(-7.3148)	tensor(-9.6957)	tensor(-9.1396)	tensor(-10.6091)	tensor(-9.0508)	tensor(-8.9142)	tensor(-7.1307)	tensor(-7.6335)	tensor(-8.4522)	tensor(-7.3852)	tensor(-6.6954)	tensor(-7.1386)	tensor(-7.1376)	tensor(-8.2289)	tensor(-11.5810)	tensor(-10.2240)	tensor(-8.3912)	tensor(-9.0621)	tensor(-11.3485)	tensor(-8.1770)	tensor(-7.2751)	tensor(-7.5122)	tensor(-8.0351)	tensor(-7.9634)	tensor(-9.5325)	tensor(-6.8289)	tensor(-9.0327)	tensor(-7.7387)	tensor(-9.9261)	tensor(-10.3401)	tensor(-8.9129)	tensor(-7.4008)	tensor(-3.6512)	tensor(-2.4061)	
tensor(-10.0905)	tensor(-11.3483)	tensor(-10.5206)	tensor(-11.5519)	tensor(-10.3403)	tensor(-9.5617)	tensor(-7.8535)	tensor(-9.9479)	tensor(-10.0735)	tensor(-12.7971)	tensor(-10.0539)	tensor(-9.6480)	tensor(-7.4523)	tensor(-8.4920)	tensor(-10.4993)	tensor(-8.9107)	tensor(-6.5487)	tensor(-9.3847)	tensor(-7.9083)	tensor(-10.6423)	tensor(-13.7931)	tensor(-13.0011)	tensor(-10.0763)	tensor(-11.6041)	tensor(-14.3200)	tensor(-10.6837)	tensor(-9.7173)	tensor(-9.9471)	tensor(-10.5288)	tensor(-10.4962)	tensor(-9.9155)	tensor(-3.9339)	tensor(-8.9079)	tensor(-6.6292)	tensor(-11.8817)	tensor(-12.9526)	tensor(-10.0202)	tensor(-10.6821)	tensor(-9.1064)	tensor(-10.5682)	
tensor(-5.6501)	tensor(-5.1534)	tensor(-4.4778)	tensor(-4.8909)	tensor(-3.1482)	tensor(-8.1098)	tensor(-7.6283)	tensor(-8.7001)	tensor(-7.9224)	tensor(-9.7242)	tensor(-8.8383)	tensor(-6.5968)	tensor(-6.1219)	tensor(-5.7107)	tensor(-8.8380)	tensor(-6.8990)	tensor(-5.7748)	tensor(-6.2472)	tensor(-4.9382)	tensor(-4.3726)	tensor(-10.8568)	tensor(-10.0289)	tensor(-6.2886)	tensor(-4.2515)	tensor(-7.6733)	tensor(-2.7199)	tensor(-4.5679)	tensor(-4.0827)	tensor(-3.0030)	tensor(-2.3064)	tensor(-8.5931)	tensor(-3.7345)	tensor(-7.0485)	tensor(-4.2394)	tensor(-9.5088)	tensor(-8.7249)	tensor(-7.1506)	tensor(-7.8998)	tensor(-6.8702)	tensor(-8.5314)	
tensor(-7.7158)	tensor(-8.5532)	tensor(-7.2094)	tensor(-8.8518)	tensor(-7.3259)	tensor(-8.9209)	tensor(-7.2826)	tensor(-9.1470)	tensor(-8.7744)	tensor(-11.6742)	tensor(-9.0333)	tensor(-8.5931)	tensor(-7.3392)	tensor(-7.2928)	tensor(-9.4027)	tensor(-8.1697)	tensor(-4.3795)	tensor(-6.9579)	tensor(-5.6978)	tensor(-7.3465)	tensor(-10.5126)	tensor(-9.5561)	tensor(-8.0691)	tensor(-8.1126)	tensor(-10.5700)	tensor(-7.2872)	tensor(-7.3346)	tensor(-6.6557)	tensor(-7.1440)	tensor(-7.1734)	tensor(-9.2031)	tensor(-6.4614)	tensor(-8.4580)	tensor(-7.0434)	tensor(-9.4854)	tensor(-10.9112)	tensor(-8.6382)	tensor(-7.9348)	tensor(-7.2778)	tensor(-8.5359)	
